domain,first_seen,last_seen,days_seen
complyr.com,2026-05-19,2026-05-19,1
marasalesinstitute.com,2026-05-19,2026-05-19,1
volza.net,2026-05-19,2026-05-19,1
rockshorecapital.com.au,2026-05-20,2026-05-20,1
simplywallst.com,2026-05-20,2026-06-08,3
hauldit.com,2026-05-21,2026-05-21,1
terva.ai,2026-05-21,2026-05-21,1
weirdlyhub.com,2026-05-21,2026-05-21,1
regitoncapital.com.au,2026-05-25,2026-05-25,1
www2.griffith.edu.au,2026-05-25,2026-05-25,1
eavesdrop.com.au,2026-05-26,2026-05-26,1
wisdomwellbeing.au,2026-05-27,2026-05-27,1
perkx.com.au,2026-05-28,2026-05-28,1
durazon.group,2026-05-29,2026-05-29,1
saundersadvocacy.com.au,2026-05-31,2026-05-31,1
vectoriselabs.com,2026-05-31,2026-05-31,1
firstgearrevops.com.au,2026-06-01,2026-06-01,1
simetrixdt.com,2026-06-01,2026-06-01,1
amalthea.com.au,2026-06-02,2026-06-02,1
kloserecruitment.com,2026-06-02,2026-06-02,1
taama.ai,2026-06-02,2026-06-02,1
nolyvra.com,2026-06-03,2026-06-03,1
aicura.com.au,2026-06-04,2026-06-04,1
sync-opt.com,2026-06-04,2026-06-04,1
tcg-ltd.com,2026-06-08,2026-06-08,1
helixscale.com,2026-06-09,2026-06-09,1
smartelectricalgroup.com.au,2026-06-09,2026-06-09,1
appliedintel.com.au,2026-06-10,2026-06-10,1
franklincovey.com.au,2026-06-10,2026-06-10,1
getting-traction.com,2026-06-10,2026-06-10,1
kinbridge.com.au,2026-06-12,2026-06-12,1
optusperthsouth.com.au,2026-06-12,2026-06-12,1
